iter	Passed	Remaining
0	2	2173
1	4	2047
2	6	1982
3	9	1950
4	11	1899
5	13	1878
6	15	1858
7	17	1838
8	19	1824
9	21	1817
10	23	1812
11	23	1691
12	24	1613
13	27	1635
14	29	1651
15	31	1662
16	33	1669
17	35	1674
18	37	1681
19	40	1688
20	42	1693
21	44	1695
22	46	1694
23	48	1696
24	49	1655
25	51	1656
26	53	1656
27	55	1656
28	57	1654
29	59	1651
30	61	1651
31	63	1650
32	65	1646
33	67	1644
34	69	1644
35	71	1644
36	73	1643
37	75	1642
38	77	1639
39	79	1636
40	81	1635
41	83	1632
42	85	1631
43	88	1632
44	90	1635
45	92	1635
46	94	1639
47	96	1640
48	98	1637
49	100	1634
50	102	1632
51	104	1629
52	106	1626
53	107	1600
54	109	1597
55	111	1596
56	113	1593
57	115	1592
58	117	1589
59	119	1587
60	121	1585
61	123	1583
62	123	1561
63	125	1560
64	127	1558
65	129	1556
66	131	1556
67	133	1555
68	135	1553
69	137	1551
70	139	1551
71	141	1550
72	143	1548
73	145	1546
74	147	1544
75	149	1543
76	150	1525
77	151	1523
78	153	1521
79	155	1520
80	157	1518
81	159	1516
82	161	1515
83	163	1514
84	165	1513
85	167	1511
86	168	1499
87	170	1498
88	172	1497
89	174	1496
90	177	1496
91	179	1495
92	181	1494
93	183	1493
94	185	1492
95	187	1491
96	189	1489
97	191	1489
98	192	1482
99	194	1480
100	196	1479
101	198	1478
102	201	1477
103	203	1476
104	205	1475
105	207	1473
106	209	1472
107	211	1471
108	213	1469
109	215	1468
110	217	1466
111	219	1464
112	221	1463
113	223	1462
114	225	1460
115	227	1459
116	229	1457
117	231	1455
118	233	1454
119	235	1452
120	237	1451
121	239	1449
122	241	1448
123	243	1447
124	245	1445
125	247	1443
126	249	1437
127	251	1436
128	253	1435
129	255	1433
130	257	1432
131	259	1431
132	261	1430
133	263	1428
134	265	1427
135	267	1421
136	269	1420
137	271	1418
138	273	1417
139	275	1415
140	277	1414
141	278	1408
142	280	1407
143	282	1406
144	284	1404
145	285	1394
146	287	1393
147	289	1391
148	291	1390
149	293	1388
150	295	1387
151	297	1387
152	300	1386
153	302	1386
154	303	1379
155	305	1377
156	307	1376
157	309	1375
158	311	1373
159	313	1372
160	315	1371
161	317	1369
162	320	1368
163	322	1367
164	324	1365
165	325	1359
166	327	1357
167	329	1356
168	331	1354
169	333	1353
170	335	1351
171	337	1349
172	339	1348
173	341	1346
174	343	1345
175	345	1343
176	347	1342
177	349	1340
178	352	1340
179	354	1339
180	356	1337
